=================================
     Train and test QA model     
=================================
Start training...
step 1 | Training...
step 41236 | Training...
step 41237 | Training...
step 41238 | Training...
step 41239 | Training...
step 41240 | Training...
step 41241 | Training...
step 41242 | Training...
step 41243 | Training...
step 41244 | Training...
step 41245 | Training...
step 41246 | Training...
step 41247 | Training...
step 41248 | Training...
step 41249 | Training...
step 41250 | Training...
step 41251 | Training...
step 41252 | Training...
step 41253 | Training...
step 41254 | Training...
step 41255 | Training...
step 41256 | Training...
step 41257 | Training...
step 41258 | Training...
step 41259 | Training...
step 41260 | Training...
step 41261 | Training...
step 41262 | Training...
step 41263 | Training...
step 41264 | Training...
step 41265 | Training...
step 41266 | Training...
step 41267 | Training...
step 41268 | Training...
step 41269 | Training...
step 41270 | Training...
step 41271 | Training...
step 41272 | Training...
step 41273 | Training...
step 41274 | Training...
step 41275 | Training...
step 41276 | Training...
step 41277 | Training...
step 41278 | Training...
step 41279 | Training...
step 41280 | Training...
step 41281 | Training...
step 41282 | Training...
step 41283 | Training...
step 41284 | Training...
step 41285 | Training...
step 41286 | Training...
step 41287 | Training...
step 41288 | Training...
step 41289 | Training...
step 41290 | Training...
step 41291 | Training...
step 41292 | Training...
step 41293 | Training...
step 41294 | Training...
step 41295 | Training...
step 41296 | Training...
step 41297 | Training...
step 41298 | Training...
step 41299 | Training...
step 41300 | Training...
step 41301 | Training...
step 41302 | Training...
step 41303 | Training...
step 41304 | Training...
step 41305 | Training...
step 41306 | Training...
step 41307 | Training...
step 41308 | Training...
step 41309 | Training...
step 41310 | Training...
step 41311 | Training...
step 41312 | Training...
step 41313 | Training...
step 41314 | Training...
step 41315 | Training...
step 41316 | Training...
step 41317 | Training...
step 41318 | Training...
step 41319 | Training...
step 41320 | Training...
step 41321 | Training...
step 41322 | Training...
step 41323 | Training...
step 41324 | Training...
step 41325 | Training...
step 41326 | Training...
step 41327 | Training...
step 41328 | Training...
step 41329 | Training...
step 41330 | Training...
step 41331 | Training...
step 41332 | Training...
step 41333 | Training...
step 41334 | Training...
step 41335 | Training...
step 41336 | Training...
step 41337 | Training...
step 41338 | Training...
step 41339 | Training...
step 41340 | Training...
step 41341 | Training...
step 41342 | Training...
step 41343 | Training...
step 41344 | Training...
step 41345 | Training...
step 41346 | Training...
step 41347 | Training...
step 41348 | Training...
step 41349 | Training...
step 41350 | Training...
step 41351 | Training...
step 41352 | Training...
step 41353 | Training...
step 41354 | Training...
step 41355 | Training...
step 41356 | Training...
step 41357 | Training...
step 41358 | Training...
step 41359 | Training...
step 41360 | Training...
step 41361 | Training...
step 41362 | Training...
step 41363 | Training...
step 41364 | Training...
step 41365 | Training...
step 41366 | Training...
step 41367 | Training...
step 41368 | Training...
step 41369 | Training...
step 41370 | Training...
step 41371 | Training...
step 41372 | Training...
step 41373 | Training...
step 41374 | Training...
step 41375 | Training...
step 41376 | Training...
step 41377 | Training...
step 41378 | Training...
step 41379 | Training...
step 41380 | Training...
step 41381 | Training...
step 41382 | Training...
step 41383 | Training...
step 41384 | Training...
step 41385 | Training...
step 41386 | Training...
step 41387 | Training...
step 41388 | Training...
step 41389 | Training...
step 41390 | Training...
step 41391 | Training...
step 41392 | Training...
step 41393 | Training...
step 41394 | Training...
step 41395 | Training...
step 41396 | Training...
step 41397 | Training...
step 41398 | Training...
step 41399 | Training...
step 41400 | Training...
step 41401 | Training...
step 41402 | Training...
step 41403 | Training...
step 41404 | Training...
step 41405 | Training...
step 41406 | Training...
step 41407 | Training...
step 41408 | Training...
step 41409 | Training...
step 41410 | Training...
step 41411 | Training...
step 41412 | Training...
step 41413 | Training...
step 41414 | Training...
step 41415 | Training...
step 41416 | Training...
step 41417 | Training...
step 41418 | Training...
step 41419 | Training...
step 41420 | Training...
step 41421 | Training...
step 41422 | Training...
step 41423 | Training...
step 41424 | Training...
step 41425 | Training...
step 41426 | Training...
step 41427 | Training...
step 41428 | Training...
step 41429 | Training...
step 41430 | Training...
step 41431 | Training...
step 41432 | Training...
step 41433 | Training...
step 41434 | Training...
step 41435 | Training...
step 41436 | Training...
step 41437 | Training...
step 41438 | Training...
step 41439 | Training...
step 41440 | Training...
step 41441 | Training...
step 41442 | Training...
step 41443 | Training...
step 41444 | Training...
step 41445 | Training...
step 41446 | Training...
step 41447 | Training...
step 41448 | Training...
step 41449 | Training...
step 41450 | Training...
step 41451 | Training...
step 41452 | Training...
step 41453 | Training...
step 41454 | Training...
step 41455 | Training...
step 41456 | Training...
step 41457 | Training...
step 41458 | Training...
step 41459 | Training...
step 41460 | Training...
step 41461 | Training...
step 41462 | Training...
step 41463 | Training...
step 41464 | Training...
step 41465 | Training...
step 41466 | Training...
step 41467 | Training...
step 41468 | Training...
step 41469 | Training...
step 41470 | Training...
step 41471 | Training...
step 41472 | Training...
step 41473 | Training...
step 41474 | Training...
step 41475 | Training...
step 41476 | Training...
step 41477 | Training...
step 41478 | Training...
step 41479 | Training...
step 41480 | Training...
step 41481 | Training...
step 41482 | Training...
step 41483 | Training...
step 41484 | Training...
step 41485 | Training...
step 41486 | Training...
step 41487 | Training...
step 41488 | Training...
step 41489 | Training...
step 41490 | Training...
step 41491 | Training...
step 41492 | Training...
step 41493 | Training...
step 41494 | Training...
step 41495 | Training...
step 41496 | Training...
step 41497 | Training...
step 41498 | Training...
step 41499 | Training...
step 41500 | Training...
step 41501 | Training...
step 41502 | Training...
step 41503 | Training...
step 41504 | Training...
step 41505 | Training...
step 41506 | Training...
step 41507 | Training...
step 41508 | Training...
step 41509 | Training...
step 41510 | Training...
step 41511 | Training...
step 41512 | Training...
step 41513 | Training...
step 41514 | Training...
step 41515 | Training...
step 41516 | Training...
step 41517 | Training...
step 41518 | Training...
step 41519 | Training...
step 41520 | Training...
step 41521 | Training...
step 41522 | Training...
step 41523 | Training...
step 41524 | Training...
step 41525 | Training...
step 41526 | Training...
step 41527 | Training...
step 41528 | Training...
step 41529 | Training...
step 41530 | Training...
step 41531 | Training...
step 41532 | Training...
step 41533 | Training...
step 41534 | Training...
step 41535 | Training...
step 41536 | Training...
step 41537 | Training...
step 41538 | Training...
step 41539 | Training...
step 41540 | Training...
step 41541 | Training...
step 41542 | Training...
step 41543 | Training...
step 41544 | Training...
step 41545 | Training...
step 41546 | Training...
step 41547 | Training...
step 41548 | Training...
step 41549 | Training...
step 41550 | Training...
step 41551 | Training...
step 41552 | Training...
step 41553 | Training...
step 41554 | Training...
step 41555 | Training...
step 41556 | Training...
step 41557 | Training...
step 41558 | Training...
step 41559 | Training...
step 41560 | Training...
step 41561 | Training...
step 41562 | Training...
step 41563 | Training...
step 41564 | Training...
step 41565 | Training...
step 41566 | Training...
step 41567 | Training...
step 41568 | Training...
step 41569 | Training...
step 41570 | Training...
step 41571 | Training...
step 41572 | Training...
step 41573 | Training...
step 41574 | Training...
step 41575 | Training...
step 41576 | Training...
step 41577 | Training...
step 41578 | Training...
step 41579 | Training...
step 41580 | Training...
step 41581 | Training...
step 41582 | Training...
step 41583 | Training...
step 41584 | Training...
step 41585 | Training...
step 41586 | Training...
step 41587 | Training...
step 41588 | Training...
step 41589 | Training...
step 41590 | Training...
step 41591 | Training...
step 41592 | Training...
step 41593 | Training...
step 41594 | Training...
step 41595 | Training...
step 41596 | Training...
step 41597 | Training...
step 41598 | Training...
step 41599 | Training...
step 41600 | Training...
step 41601 | Training...
step 41602 | Training...
step 41603 | Training...
step 41604 | Training...
step 41605 | Training...
step 41606 | Training...
step 41607 | Training...
step 41608 | Training...
step 41609 | Training...
step 41610 | Training...
step 41611 | Training...
step 41612 | Training...
step 41613 | Training...
step 41614 | Training...
step 41615 | Training...
step 41616 | Training...
step 41617 | Training...
step 41618 | Training...
step 41619 | Training...
step 41620 | Training...
step 41621 | Training...
step 41622 | Training...
step 41623 | Training...
step 41624 | Training...
step 41625 | Training...
step 41626 | Training...
step 41627 | Training...
step 41628 | Training...
step 41629 | Training...
step 41630 | Training...
step 41631 | Training...
step 41632 | Training...
step 41633 | Training...
step 41634 | Training...
step 41635 | Training...
step 41636 | Training...
step 41637 | Training...
step 41638 | Training...
step 41639 | Training...
